Time,Data,Average,SD
 11:17:16   ,306.0,307.9,3.53
 11:17:19   ,308.0,307.5,3.44
 11:17:22   ,310.0,307.4,3.53
 11:17:25   ,307.0,306.9,3.3
 11:17:28   ,305.0,307.3,3.35
 11:17:31   ,302.0,306.9,3.65
 11:17:34   ,301.0,306.9,3.73
 11:17:37   ,309.0,306.4,2.54
 11:17:40   ,310.0,305.7,2.97
 11:17:43   ,310.0,306.3,2.97
 11:17:46   ,301.0,305.9,3.36
 11:17:49   ,301.0,306.3,3.58
 11:17:52   ,312.0,306.7,3.95
 11:17:55   ,312.0,305.8,4.12
 11:17:58   ,309.0,306.0,4.22
 11:18:01   ,308.0,306.6,4.52
 11:18:04   ,307.0,307.2,4.28
 11:18:07   ,302.0,307.4,4.15
 11:18:10   ,310.0,308.0,3.79
 11:18:13   ,299.0,306.1,4.66
 11:18:16   ,314.0,307.6,4.54
 11:18:19   ,304.0,306.4,4.41
 11:18:22   ,311.0,308.4,4.45
 11:18:25   ,304.0,306.9,4.41
 11:18:28   ,307.0,307.1,4.21
 11:18:31   ,304.0,306.3,4.31
 11:18:34   ,304.0,306.2,4.28
 11:18:37   ,310.0,306.5,4.43
 11:18:40   ,300.0,305.7,4.54
 11:18:43   ,296.0,305.3,5.16
 11:18:46   ,303.0,306.1,4.09
 11:18:49   ,299.0,303.9,4.46
 11:18:52   ,312.0,305.1,4.76
 11:18:55   ,300.0,302.7,3.87
 11:18:58   ,300.0,303.5,4.78
 11:19:01   ,298.0,302.6,4.88
 11:19:04   ,306.0,303.0,4.82
 11:19:07   ,305.0,302.3,4.96
 11:19:10   ,301.0,301.5,4.34
 11:19:13   ,302.0,302.1,4.41
 11:19:16   ,305.0,302.9,4.01
 11:19:19   ,303.0,302.6,3.95
 11:19:22   ,304.0,303.3,3.82
 11:19:25   ,298.0,301.8,2.75
 11:19:28   ,299.0,302.3,2.61
 11:19:31   ,304.0,302.6,2.69
 11:19:34   ,296.0,301.9,3.18
 11:19:37   ,306.0,302.7,2.53
 11:19:40   ,300.0,301.2,2.79
 11:19:43   ,303.0,302.0,3.1
 11:19:46   ,298.0,301.3,3.32
 11:19:49   ,307.0,302.0,3.41
 11:19:52   ,301.0,300.9,3.08
 11:19:55   ,300.0,301.1,3.51
 11:19:58   ,300.0,301.4,3.35
 11:20:01   ,297.0,301.2,3.54
 11:20:04   ,306.0,301.7,3.49
 11:20:07   ,306.0,301.8,3.34
 11:20:10   ,302.0,301.4,3.04
 11:20:13   ,320.0,303.8,6.32
 11:20:16   ,332.0,304.9,9.61
 11:20:19   ,318.0,305.7,7.31
 11:20:22   ,309.0,307.3,10.29
 11:20:25   ,321.0,310.2,11.11
 11:20:28   ,318.0,310.8,10.35
 11:20:31   ,321.0,313.2,10.26
 11:20:34   ,303.0,313.5,9.25
 11:20:37   ,306.0,315.3,8.78
 11:20:40   ,311.0,315.5,8.75
 11:20:43   ,309.0,315.7,8.34
 11:20:46   ,308.0,314.7,8.39
 11:20:49   ,307.0,312.3,6.28
 11:20:52   ,303.0,310.9,6.47
 11:20:55   ,300.0,310.4,6.96
 11:20:58   ,298.0,308.4,6.58
 11:21:01   ,312.0,308.0,5.6
 11:21:04   ,306.0,305.1,3.86
 11:21:07   ,309.0,306.3,4.38
 11:21:10   ,295.0,304.9,5.41
 11:21:13   ,300.0,305.2,4.45
